ImageFile,targ_side,correctAnswer,n,image.started_raw,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_raw,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_raw,key_resp_7.stopped_raw,text_4.started_raw,text_4.stopped_raw,order
images/exp1b_trial_5_colour2_distractors1_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,113.0
images/exp1b_trial_6_colour2_distractors4_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,163.0
images/exp1b_trial_7_colour2_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,306.0
images/exp1b_trial_8_colour2_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,350.0
images/exp1b_trial_9_colour2_distractors31_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,383.0
images/exp1b_trial_10_colour3_distractors1_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,133.0
images/exp1b_trial_11_colour3_distractors4_r.png,r,2,1.0,'21.512863',,1.0,1.0,0.0,'2',1.0795413255691528,1.0795413255691528,0.0,'21.512863',,,,,,,,,,10.0
images/exp1b_trial_12_colour3_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,79.0
images/exp1b_trial_13_colour3_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,84.0
images/exp1b_trial_14_colour3_distractors31_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,296.0
images/exp1b_trial_15_colour1_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,75.0
images/exp1b_trial_16_colour1_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,389.0
images/exp1b_trial_17_colour1_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,196.0
images/exp1b_trial_18_colour1_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,263.0
images/exp1b_trial_19_colour1_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,309.0
images/exp1b_trial_20_colour2_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,119.0
images/exp1b_trial_21_colour2_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,419.0
images/exp1b_trial_22_colour2_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,44.0
images/exp1b_trial_23_colour2_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,112.0
images/exp1b_trial_24_colour2_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,318.0
images/exp1b_trial_25_colour3_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,321.0
images/exp1b_trial_26_colour3_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,148.0
images/exp1b_trial_27_colour3_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,254.0
images/exp1b_trial_28_colour3_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,190.0
images/exp1b_trial_29_colour3_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,126.0
images/exp1b_trial_30_colour0_distractors0_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,269.0
images/exp1b_trial_31_colour0_distractors0_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,462.0
